Artist,Prince
Album,Diamonds and Pearls
15,This Wheel’s on Fire,5:42

Artist,Switchblade Symphony
Album,Serpentine Gallery
Track #,Title,Duration
1,Bad Trash,3:46
2,Dissolve,4:35
3,Wallflower,5:01
4,Wrecking Yard,5:09
5,Clown,5:38
6,Cocoon,2:09
7,Dollhouse,4:08
8,Sweet,5:45
9,Gutter Glitter,3:50
10,Mine Eyes,4:24
11,Bloody Knuckies,2:41

Artist,The Cure
Album,Wild Mood Swings
Track #,Title,Duration
1,Want,5:06
2,Club America,5:01
3,This Is a Lie,4:29
4,The 13th,4:17
5,Strange Attraction,4:21
6,Mint Car,3:29
7,Jupiter Crash,4:15
8,Round & Round & Round,2:38
9,Gone! (radio mix),4:27
10,Numb,4:49
11,Return,3:28
12,Trap,3:37
13,Treasure,3:45
14,Bare,7:56

Artist,Tori Amos
Album,Under the Pink
Track #,Title,Duration
1,Pretty Good Year,3:26
2,God,3:54
3,Bells for Her,5:21
4,Past the Mission,4:06
5,Baker Baker,3:18
6,The Wrong Band,3:03
7,The Waitress,3:10
8,Cornflake Girl,5:05
9,Icicle,5:47
10,Cloud on My Tongue,4:43
11,Space Dog,5:12
12,"Yes, Anastasia",9:33

Artist,VNV Nation
Album,Matter+Form
Track #,Title,Duration
1,Intro,1:27
2,Chrome,4:40
3,Arena,5:44
4,Colours of Rain,4:06
5,Strata,4:00
6,Interceptor,3:25
7,Entropy,5:17
8,Endless Skies,5:55
9,Homeward,5:34
10,Lightwave,7:00
11,Perpetual,7:53

Artist,Rasputina
Album,How We Quit the Forest
Track #,Title,Duration
1,The Olde HeadBoard,2:50
2,LeechWife,3:13
3,You Don't Own Me,2:24
4,The New Zero,3:40
5,Rose K.,2:46
6,DwarfStar,2:41
7,Sign of the Zodiac,3:47
8,TrenchMouth,3:10
9,Herb Girls of Birkenau,3:02
10,Mayfly,2:38
11,Christian Soldiers,1:33
12,Things I'm Gonna Do,3:11
13,Diamond Mind,1:11
14,How We Quit the Forest,2:36
15,Watch T.V.,3:07

Artist,Empty Slot 35
Album,No Album
Track #,Title,Duration

Artist,Empty Slot 36
Album,No Album
Track #,Title,Duration

Artist,Empty Slot 37
Album,No Album
Track #,Title,Duration

Artist,Empty Slot 38
Album,No Album
Track #,Title,Duration

Artist,Empty Slot 39
Album,No Album
Track #,Title,Duration

Artist,Empty Slot 40
Album,No Album
Track #,Title,Duration

Artist,Empty Slot 41
Album,No Album
Track #,Title,Duration

Artist,Empty Slot 42
Album,No Album
Track #,Title,Duration

Artist,Empty Slot 43
Album,No Album
Track #,Title,Duration

Artist,Empty Slot 44
Album,No Album
Track #,Title,Duration

Artist,Empty Slot 45
Album,No Album
Track #,Title,Duration

Artist,Empty Slot 46
Album,No Album
Track #,Title,Duration

Artist,Empty Slot 47
Album,No Album
Track #,Title,Duration

Artist,Empty Slot 48
Album,No Album
Track #,Title,Duration

Artist,Empty Slot 49
Album,No Album
Track #,Title,Duration

Artist,Empty Slot 50
Album,No Album
Track #,Title,Duration

Artist,Empty Slot 51
Album,No Album
Track #,Title,Duration

Artist,Empty Slot 52
Album,No Album
Track #,Title,Duration

